gene,condition,top_disease,overall_status,kd_ok,effect_size,program_adj_p,disease_OR,disease_FDR,chain_score
HNRNPAB,Stim8hr,inflammatory bowel disease,program link refuted: knockdown valid but no significant Th1/Th2 shift,1,-40.0042,0.3352,2.6869,0.0141,5.9301
AGPAT4,Stim48hr,autoimmune disease,program link refuted: knockdown valid but no significant Th1/Th2 shift,1,-6.2825,0.1902,2.2157,0.0025,5.9283
RYBP,Stim8hr,asthma,program link refuted: knockdown valid but no significant Th1/Th2 shift,1,-4.4107,0.1518,3.0645,0.0018,5.9073
DDX6,Stim48hr,rheumatoid arthritis,program link refuted: knockdown valid but no significant Th1/Th2 shift,1,-15.7647,0.6196,2.8071,0.0025,5.8967
UBL3,Stim8hr,inflammatory bowel disease,program link refuted: knockdown valid but no significant Th1/Th2 shift,1,-12.4264,0.7917,2.8934,0.0048,5.8944
STING1,Stim48hr,autoimmune disease,"partial chain - effect:supported, program:untested, disease:supported",1,-26.963,,2.018,0.0124,5.8905
PLK2,Stim48hr,atopic eczema,program link refuted: knockdown valid but no significant Th1/Th2 shift,1,-3.1436,0.2572,3.4696,0.0356,5.8894
ATP2A2,Stim8hr,inflammatory bowel disease,program link refuted: knockdown valid but no significant Th1/Th2 shift,1,-15.6456,0.616,2.8934,0.0048,5.8776
NPEPPS,Stim8hr,autoimmune disease,program link refuted: knockdown valid but no significant Th1/Th2 shift,1,-9.7547,0.6452,2.5487,0.0003376,5.8631
OAS1,Stim48hr,autoimmune disease,program link refuted: knockdown valid but no significant Th1/Th2 shift,1,-11.9254,0.2791,2.018,0.0124,5.8416
SP140L,Stim8hr,inflammatory bowel disease,program link refuted: knockdown valid but no significant Th1/Th2 shift,1,-17.0174,0.4277,2.8934,0.0048,5.8369
RASSF3,Rest,autoimmune disease,program link refuted: knockdown valid but no significant Th1/Th2 shift,1,-6.1811,0.449,2.0975,0.0068,5.8131
TMEM131L,Stim8hr,autoimmune disease,program link refuted: knockdown valid but no significant Th1/Th2 shift,1,-8.2116,0.3042,2.2219,0.005,5.7956
TPGS2,Stim8hr,inflammatory bowel disease,program link refuted: knockdown valid but no significant Th1/Th2 shift,1,-18.0111,0.9463,2.2933,0.0496,5.7702
PFKFB3,Stim48hr,asthma,program link refuted: knockdown valid but no significant Th1/Th2 shift,1,-5.8771,0.0919,2.3613,0.0265,5.7418
CD6,Rest,rheumatoid arthritis,program link refuted: knockdown valid but no significant Th1/Th2 shift,1,-23.2661,0.6965,2.9229,0.0045,5.715
METAP2,Stim48hr,autoimmune disease,program link refuted: knockdown valid but no significant Th1/Th2 shift,1,-11.218,0.521,1.9239,0.0478,5.7075
ABTB3,Stim8hr,ankylosing spondylitis,"partial chain - effect:supported, program:untested, disease:supported",1,-9.4858,,3.6295,0.0066,5.6975
CCDC6,Stim48hr,autoimmune disease,program link refuted: knockdown valid but no significant Th1/Th2 shift,1,-9.3688,0.9094,2.3196,0.002,5.6849
ETS1,Rest,rheumatoid arthritis,effect refuted: knockdown valid by gate but DE_stats shows no on-target effect,1,-1.2833,0.0377,2.9229,0.0045,5.6801
UBLCP1,Stim8hr,autoimmune disease,program link refuted: knockdown valid but no significant Th1/Th2 shift,1,-24.7054,0.8835,1.926,0.0255,5.6694
IDUA,Rest,systemic lupus erythematosus,program link refuted: knockdown valid but no significant Th1/Th2 shift,1,-3.6326,0.0509,2.5817,0.034,5.6683
PTPRK,Stim48hr,ulcerative colitis,program link refuted: knockdown valid but no significant Th1/Th2 shift,1,-3.6134,0.1819,3.2147,0.0117,5.6577
SOCS3,Stim48hr,ankylosing spondylitis,program link refuted: knockdown valid but no significant Th1/Th2 shift,1,-5.6898,0.1812,3.3994,0.0115,5.579
MFSD6,Stim8hr,autoimmune disease,program link refuted: knockdown valid but no significant Th1/Th2 shift,1,-8.8297,0.1502,1.926,0.0255,5.5787
MGAT5,Stim48hr,autoimmune disease,program link refuted: knockdown valid but no significant Th1/Th2 shift,1,-12.8004,0.8727,2.3196,0.002,5.5765
MBNL1,Stim48hr,autoimmune disease,program link refuted: knockdown valid but no significant Th1/Th2 shift,1,-4.0724,0.7035,2.2157,0.0025,5.4929
SOCS3,Stim8hr,asthma,program link refuted: knockdown valid but no significant Th1/Th2 shift,1,-6.4408,0.1812,2.5496,0.0184,5.4634
CD200,Stim8hr,autoimmune disease,program link refuted: knockdown valid but no significant Th1/Th2 shift,1,-12.5155,0.745,2.2219,0.0025,5.4544
NR4A3,Stim8hr,inflammatory bowel disease,program link refuted: knockdown valid but no significant Th1/Th2 shift,1,-6.2401,0.501,2.8934,0.0031,5.4469
HIVEP2,Stim8hr,autoimmune disease,program link refuted: knockdown valid but no significant Th1/Th2 shift,1,-4.2426,0.1416,1.8335,0.0253,5.4324
RNF145,Stim8hr,autoimmune disease,program link refuted: knockdown valid but no significant Th1/Th2 shift,1,-15.5793,0.8773,2.2219,0.005,5.4165
CDC42SE2,Stim8hr,inflammatory bowel disease,program link refuted: knockdown valid but no significant Th1/Th2 shift,1,-9.8439,0.6756,2.6869,0.0141,5.3958
ARHGAP15,Stim8hr,autoimmune disease,program link refuted: knockdown valid but no significant Th1/Th2 shift,1,-22.2256,0.2187,1.8335,0.0253,5.388
RAPGEF6,Rest,Crohn's disease,program link refuted: knockdown valid but no significant Th1/Th2 shift,1,-3.6031,0.9724,5.2985,0.0347,5.3754
RYBP,Stim48hr,inflammatory bowel disease,program link refuted: knockdown valid but no significant Th1/Th2 shift,1,-2.4543,0.1518,2.9917,0.0008715,5.2984
ACTA2,Stim48hr,Crohn's disease,program link refuted: knockdown valid but no significant Th1/Th2 shift,1,-3.1883,0.243,3.2947,0.0095,5.2558
ZC3H12C,Stim48hr,autoimmune disease,program link refuted: knockdown valid but no significant Th1/Th2 shift,1,-6.9217,0.4348,2.3196,0.002,5.2444
PXYLP1,Stim48hr,autoimmune disease,program link refuted: knockdown valid but no significant Th1/Th2 shift,1,-8.1099,0.8587,1.9239,0.0239,5.2395
FOXO1,Stim8hr,rheumatoid arthritis,program link refuted: knockdown valid but no significant Th1/Th2 shift,1,-5.4785,0.6056,3.0478,0.0018,5.2046
MX1,Stim48hr,autoimmune disease,program link refuted: knockdown valid but no significant Th1/Th2 shift,1,-10.9148,0.8736,2.018,0.0124,5.1781
HBS1L,Stim48hr,ankylosing spondylitis,"partial chain - effect:untested, program:supported, disease:supported",1,,0.0404,3.3994,0.0115,5.1607
CEMIP2,Stim48hr,rheumatoid arthritis,"partial chain - effect:supported, program:untested, disease:supported",1,-14.6307,,2.2471,0.0318,5.1541
CDC37,Stim8hr,autoimmune disease,effect refuted: knockdown valid by gate but DE_stats shows no on-target effect,1,0.3575,0.0171,1.9783,0.0184,5.1019
IL23R,Stim48hr,ulcerative colitis,program link refuted: knockdown valid but no significant Th1/Th2 shift,1,-2.2562,0.2533,3.2147,0.0117,5.0916
HDAC7,Stim48hr,autoimmune disease,program link refuted: knockdown valid but no significant Th1/Th2 shift,1,-5.6178,0.5379,1.9239,0.0239,5.0881
ACTR2,Stim8hr,autoimmune disease,program link refuted: knockdown valid but no significant Th1/Th2 shift,1,-18.8942,0.7338,1.8335,0.0253,5.0283
DOCK9,Stim48hr,autoimmune disease,effect refuted: knockdown valid by gate but DE_stats shows no on-target effect,1,-0.8152,0.0307,1.9239,0.0239,5.0231
PRR5L,Stim8hr,atopic eczema,program link refuted: knockdown valid but no significant Th1/Th2 shift,1,-3.1799,0.9309,3.8545,0.0123,5.0174
DARS1,Stim48hr,asthma,"partial chain - effect:supported, program:untested, disease:supported",1,-4.5014,,2.3613,0.0198,4.9351
ACTA2,Rest,ulcerative colitis,program link refuted: knockdown valid but no significant Th1/Th2 shift,1,-1.3162,0.243,4.1537,0.0303,4.9082
MUC1,Stim8hr,autoimmune disease,program link refuted: knockdown valid but no significant Th1/Th2 shift,1,-5.9081,0.9351,2.2219,0.005,4.9038
CDC42SE2,Stim48hr,autoimmune disease,program link refuted: knockdown valid but no significant Th1/Th2 shift,1,-5.0896,0.6756,1.9239,0.0478,4.6556
ANXA3,Stim48hr,autoimmune disease,effect refuted: knockdown valid by gate but DE_stats shows no on-target effect,1,-3.4188,,2.3196,0.002,4.4542
PRR5L,Rest,autoimmune disease,program link refuted: knockdown valid but no significant Th1/Th2 shift,1,-5.041,0.9309,2.0975,0.0068,4.3803
DARS1,Rest,autoimmune disease,effect refuted: knockdown valid by gate but DE_stats shows no on-target effect,1,-2.2227,,2.0975,0.0068,4.3194
HCFC1,Stim8hr,autoimmune disease,program link refuted: knockdown valid but no significant Th1/Th2 shift,1,-3.2909,0.9858,2.2219,0.0025,4.2092
KMT2A,Stim8hr,autoimmune disease,program link refuted: knockdown valid but no significant Th1/Th2 shift,1,-4.1906,0.6993,1.9783,0.0184,4.2021
SHISA2,Stim48hr,autoimmune disease,program link refuted: knockdown valid but no significant Th1/Th2 shift,1,-2.6028,0.7571,1.9239,0.0239,4.1046
ACTB,Stim8hr,Crohn's disease,program link refuted: knockdown valid but no significant Th1/Th2 shift,1,0.0,0.3281,3.6625,0.0031,3.7917
UST,Stim48hr,ulcerative colitis,program link refuted: knockdown valid but no significant Th1/Th2 shift,1,0.0,0.8127,3.2147,0.0117,3.1518
MEAK7,Stim48hr,autoimmune disease,effect refuted: knockdown valid by gate but DE_stats shows no on-target effect,1,-0.159,,2.3196,0.002,3.1176
TMSB4X,Stim8hr,autoimmune disease,program link refuted: knockdown valid but no significant Th1/Th2 shift,1,0.0,0.5896,2.0214,0.0062,2.7009
