gene,condition,top_disease,overall_status,kd_ok,effect_size,program_adj_p,disease_OR,disease_FDR,chain_score
ATP10A,Stim48hr,ulcerative colitis,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-8.9125,1.039e-73,3.2147,0.0117,28.686
PTPN22,Stim8hr,systemic lupus erythematosus,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-22.4582,1.002e-47,3.7403,0.0025,28.6822
ITGAL,Stim8hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-24.364,2.895e-28,2.2219,0.005,28.5973
TNIP3,Stim8hr,multiple sclerosis,effect refuted: knockdown valid by gate but DE_stats shows no on-target effect,1,-0.9525,5.254e-43,2.8606,0.0438,28.5809
FOSL2,Stim8hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-10.7098,3.1e-37,2.5487,0.0003376,28.5514
CDC42EP3,Stim8hr,rheumatoid arthritis,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-8.6582,3.193e-58,2.6365,0.0057,28.5068
IL10RA,Stim8hr,inflammatory bowel disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-15.1121,1.359e-18,2.6869,0.0141,28.4788
CTSW,Rest,inflammatory bowel disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-4.6541,1.674e-23,2.9079,0.0012,28.4427
HIF1A,Stim8hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-7.9548,1.141e-18,1.926,0.0255,28.4404
DPP4,Stim48hr,asthma,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-19.4407,2.674e-89,2.3613,0.0318,28.2363
FUT8,Stim48hr,rheumatoid arthritis,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-4.7056,1.399e-25,2.8071,0.0025,28.2113
LAG3,Stim48hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables (with caveats),1,-17.1171,7.926e-222,2.018,0.0124,28.2108
CCR5,Stim8hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-8.2048,7.907e-25,2.2219,0.005,28.2003
SESN1,Stim48hr,asthma,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-7.4162,1.345e-57,2.5622,0.0095,28.1735
LITAF,Stim48hr,Crohn's disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-29.4246,2.932e-28,3.956,0.0006502,28.1032
IL21R,Stim8hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-13.8884,2.677e-30,2.2219,0.0025,28.0199
RIPK2,Stim8hr,ankylosing spondylitis,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-4.6948,2.399e-38,3.2605,0.0167,27.9833
RIPK2,Stim48hr,ulcerative colitis,effect refuted: knockdown valid by gate but DE_stats shows no on-target effect,1,-4.3111,2.399e-38,3.2147,0.0117,27.9684
BCL2L11,Rest,Crohn's disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-8.031,1.208e-22,4.651,0.0001227,27.9562
FOSL2,Stim48hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-8.3341,3.1e-37,2.3196,0.002,27.953
GATA3,Stim8hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-19.9951,2.242e-131,3.0405,5.05e-06,27.8233
TESPA1,Stim8hr,atopic eczema,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-22.3897,2.435e-121,4.8979,0.0005224,27.823
FYB1,Rest,autoimmune disease,effect refuted: knockdown valid by gate but DE_stats shows no on-target effect,1,-0.1091,2.747e-57,2.0975,0.0068,27.82
TRABD2A,Stim8hr,inflammatory bowel disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-13.0084,2.961e-67,2.8934,0.0048,27.7828
TNFAIP3,Stim8hr,Crohn's disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-5.2517,5.694e-34,3.6625,0.0031,27.7816
ADA2,Stim48hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-4.7987,3.304e-19,2.018,0.0124,27.756
TIAM1,Stim8hr,autoimmune disease,effect refuted: knockdown valid by gate but DE_stats shows no on-target effect,1,-1.8111,0.0,2.5487,0.0003376,27.737
TBX21,Stim48hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-9.219,1.107e-244,1.9239,0.0239,27.6909
TRIB2,Stim8hr,Hashimoto's thyroiditis,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-9.0206,2.608e-117,4.2031,0.0029,27.5683
LEF1,Rest,rheumatoid arthritis,effect refuted: knockdown valid by gate but DE_stats shows no on-target effect,1,-1.0897,2.086e-83,2.9229,0.0045,27.5629
GATA3,Stim48hr,atopic eczema,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-14.9488,2.242e-131,4.5639,0.0038,27.5232
IFNG,Stim8hr,rheumatoid arthritis,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-6.5539,2.826e-143,3.0478,0.0018,27.5024
BCL6,Stim8hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-1.479,2.876e-29,2.2219,0.0025,27.4488
C12orf75,Stim8hr,inflammatory bowel disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-7.2575,1.362e-33,2.8934,0.0031,27.388
EOMES,Stim8hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-5.1995,3.247e-159,1.9783,0.0184,27.2278
C12orf75,Stim48hr,inflammatory bowel disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-12.1894,1.362e-33,2.9917,0.0008715,27.2163
DPP4,Stim8hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-22.4823,2.674e-89,2.5487,0.0003376,27.1895
FAM13A,Rest,inflammatory bowel disease,effect refuted: knockdown valid by gate but DE_stats shows no on-target effect,1,-2.5566,3.342e-18,2.9079,0.0012,27.1815
LEF1,Stim8hr,autoimmune disease,effect refuted: knockdown valid by gate but DE_stats shows no on-target effect,1,-0.404,2.086e-83,2.2219,0.005,27.17
IL12RB2,Rest,rheumatoid arthritis,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-10.9694,2.093e-113,2.9229,0.0045,27.0934
