gsm,sample_name,patient,condition,replicate,cell_type,cell_label_method,n_cells,total_cells_sample,NAB2_mean,NAB2_pct_expr,STAT6_mean,STAT6_pct_expr,IL13_mean,IL13_pct_expr,CCL17_mean,CCL17_pct_expr,GATA3_mean,GATA3_pct_expr,type2_full_genes,type2_full_mean,type2_detected_genes,type2_detected_mean,type2_sensitivity_genes,type2_sensitivity_mean
GSM6190735,BCH01-L2,BCH01,AD lesional,L2,myeloid,obs:Cell type,868,6687,0.024811821058392525,1.1520737327188941,0.13477088510990143,6.336405529953917,0.0,0.0,1.0025715827941895,25.115207373271893,0.009759156033396721,0.5760368663594471,"IL13,IL4,IL5,IL31,CCL17,CCL22,CCL26,TSLP,IL4R",0.16513946652412415,"CCL17,CCL22,IL4R",0.4903721511363983,"CCL17,CCL22,CCL26,TSLP,IL4R,IL31",0.24770919978618622
GSM6190736,BCH04-NL1,BCH04,AD non-lesional,NL1,LEC,obs:Cell type,72,5972,0.008317040279507637,2.7777777777777777,0.03346581012010574,4.166666666666666,0.019252005964517593,1.3888888888888888,0.022331109270453453,1.3888888888888888,0.008014938794076443,1.3888888888888888,"IL13,IL4,IL5,IL31,CCL17,CCL22,CCL26,TSLP,IL4R",0.005294887814670801,,,"CCL17,CCL22,CCL26,TSLP,IL4R,IL31",0.004733664449304342
GSM6190736,BCH04-NL1,BCH04,AD non-lesional,NL1,Pericyte/SMC,obs:Cell type,560,5972,0.06775546818971634,5.0,0.13136494159698486,8.392857142857142,0.0,0.0,0.0031406881753355265,0.17857142857142858,0.002504162723198533,0.17857142857142858,"IL13,IL4,IL5,IL31,CCL17,CCL22,CCL26,TSLP,IL4R",0.12884840369224548,"CCL26,IL4R",0.5755643248558044,"CCL17,CCL22,CCL26,TSLP,IL4R,IL31",0.19327260553836823
GSM6190736,BCH04-NL1,BCH04,AD non-lesional,NL1,Schwann,obs:Cell type,147,5972,0.03311845287680626,2.0408163265306123,0.08720570802688599,5.442176870748299,0.0,0.0,0.0,0.0,0.0,0.0,"IL13,IL4,IL5,IL31,CCL17,CCL22,CCL26,TSLP,IL4R",0.012013784609735012,,,"CCL17,CCL22,CCL26,TSLP,IL4R,IL31",0.01802067644894123
GSM6190736,BCH04-NL1,BCH04,AD non-lesional,NL1,Sweat gland,obs:Cell type,108,5972,0.13445861637592316,8.333333333333332,0.11157365888357162,9.25925925925926,0.0,0.0,0.0,0.0,0.07942631840705872,7.4074074074074066,"IL13,IL4,IL5,IL31,CCL17,CCL22,CCL26,TSLP,IL4R",0.01223653182387352,,,"CCL17,CCL22,CCL26,TSLP,IL4R,IL31",0.01835479773581028
GSM6190736,BCH04-NL1,BCH04,AD non-lesional,NL1,T/NK,obs:Cell type,585,5972,0.11308761686086655,5.128205128205128,0.03617607057094574,1.8803418803418803,0.38926687836647034,13.846153846153847,0.0073260036297142506,0.3418803418803419,0.6906067132949829,28.717948717948715,"IL13,IL4,IL5,IL31,CCL17,CCL22,CCL26,TSLP,IL4R",0.059172458946704865,"IL13,IL4R",0.24875189363956451,"CCL17,CCL22,CCL26,TSLP,IL4R,IL31",0.019260486587882042
GSM6190736,BCH04-NL1,BCH04,AD non-lesional,NL1,VEC,obs:Cell type,531,5972,0.09684140980243683,12.052730696798493,0.17769959568977356,17.51412429378531,0.0010958099737763405,0.18832391713747645,0.011642195284366608,1.3182674199623352,0.030029892921447754,3.0131826741996233,"IL13,IL4,IL5,IL31,CCL17,CCL22,CCL26,TSLP,IL4R",0.08117413520812988,"CCL26,TSLP,IL4R",0.23559482395648956,"CCL17,CCL22,CCL26,TSLP,IL4R,IL31",0.12157857418060303
GSM6190736,BCH04-NL1,BCH04,AD non-lesional,NL1,fibroblast,obs:Cell type,2101,5972,0.10456867516040802,8.329366968110422,0.18335410952568054,13.374583531651593,0.0,0.0,0.010048618540167809,0.47596382674916704,0.008237237110733986,0.5235602094240838,"IL13,IL4,IL5,IL31,CCL17,CCL22,CCL26,TSLP,IL4R",0.03840892016887665,"CCL26,TSLP,IL4R",0.1090211272239685,"CCL17,CCL22,CCL26,TSLP,IL4R,IL31",0.05731506273150444
GSM6190736,BCH04-NL1,BCH04,AD non-lesional,NL1,keratinocyte,obs:Cell type,1342,5972,0.17666997015476227,13.189269746646795,0.15836212038993835,10.953800298062594,0.0044873724691569805,0.22354694485842028,0.006923184264451265,0.5216095380029807,0.6739633083343506,39.12071535022355,"IL13,IL4,IL5,IL31,CCL17,CCL22,CCL26,TSLP,IL4R",0.02136613242328167,"CCL22,TSLP,IL4R",0.05755411460995674,"CCL17,CCL22,CCL26,TSLP,IL4R,IL31",0.03130130097270012
GSM6190736,BCH04-NL1,BCH04,AD non-lesional,NL1,melanocyte,obs:Cell type,21,5972,0.19147253036499023,14.285714285714285,0.19217386841773987,19.047619047619047,0.0,0.0,0.0,0.0,0.0,0.0,"IL13,IL4,IL5,IL31,CCL17,CCL22,CCL26,TSLP,IL4R",0.0,,,"CCL17,CCL22,CCL26,TSLP,IL4R,IL31",0.0
GSM6190736,BCH04-NL1,BCH04,AD non-lesional,NL1,myeloid,obs:Cell type,505,5972,0.11599563807249069,8.316831683168317,0.13211436569690704,9.306930693069306,0.026682564988732338,0.9900990099009901,0.45965078473091125,14.653465346534652,0.008901081047952175,0.7920792079207921,"IL13,IL4,IL5,IL31,CCL17,CCL22,CCL26,TSLP,IL4R",0.12854240834712982,"CCL17,CCL22,IL4R",0.3730444610118866,"CCL17,CCL22,CCL26,TSLP,IL4R,IL31",0.18836651742458344
GSM6190737,BCH04-NL2,BCH04,AD non-lesional,NL2,LEC,obs:Cell type,68,5970,0.008630869910120964,1.4705882352941175,0.04927796870470047,2.941176470588235,0.0,0.0,0.0,0.0,0.04293721541762352,2.941176470588235,"IL13,IL4,IL5,IL31,CCL17,CCL22,CCL26,TSLP,IL4R",0.00819854810833931,,,"CCL17,CCL22,CCL26,TSLP,IL4R,IL31",0.01229782123118639
GSM6190737,BCH04-NL2,BCH04,AD non-lesional,NL2,Pericyte/SMC,obs:Cell type,579,5970,0.06296282261610031,3.9723661485319512,0.0853126049041748,4.8359240069084635,0.0,0.0,0.0,0.0,0.017625238746404648,1.0362694300518136,"IL13,IL4,IL5,IL31,CCL17,CCL22,CCL26,TSLP,IL4R",0.11791837215423584,"CCL26,IL4R",0.5306326746940613,"CCL17,CCL22,CCL26,TSLP,IL4R,IL31",0.17687755823135376
GSM6190737,BCH04-NL2,BCH04,AD non-lesional,NL2,Plasma,obs:Cell type,1,5970,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"IL13,IL4,IL5,IL31,CCL17,CCL22,CCL26,TSLP,IL4R",0.0,,,"CCL17,CCL22,CCL26,TSLP,IL4R,IL31",0.0
GSM6190737,BCH04-NL2,BCH04,AD non-lesional,NL2,Schwann,obs:Cell type,124,5970,0.13559715449810028,5.64516129032258,0.15975990891456604,6.451612903225806,0.0,0.0,0.0,0.0,0.0,0.0,"IL13,IL4,IL5,IL31,CCL17,CCL22,CCL26,TSLP,IL4R",0.01579112745821476,,,"CCL17,CCL22,CCL26,TSLP,IL4R,IL31",0.023686692118644714
GSM6190737,BCH04-NL2,BCH04,AD non-lesional,NL2,Sweat gland,obs:Cell type,100,5970,0.152702197432518,11.0,0.2515800893306732,17.0,0.0,0.0,0.0,0.0,0.16989536583423615,9.0,"IL13,IL4,IL5,IL31,CCL17,CCL22,CCL26,TSLP,IL4R",0.010426118038594723,,,"CCL17,CCL22,CCL26,TSLP,IL4R,IL31",0.015639176592230797
GSM6190737,BCH04-NL2,BCH04,AD non-lesional,NL2,T/NK,obs:Cell type,585,5970,0.11552771925926208,4.786324786324787,0.021915754303336143,0.8547008547008548,0.2967671751976013,10.598290598290598,0.0,0.0,0.7095210552215576,27.17948717948718,"IL13,IL4,IL5,IL31,CCL17,CCL22,CCL26,TSLP,IL4R",0.04709756374359131,IL13,0.2967671751976013,"CCL17,CCL22,CCL26,TSLP,IL4R,IL31",0.016021912917494774
GSM6190737,BCH04-NL2,BCH04,AD non-lesional,NL2,VEC,obs:Cell type,524,5970,0.09220568835735321,10.114503816793894,0.16198262572288513,14.694656488549619,0.0010588685981929302,0.19083969465648853,0.00781337171792984,0.38167938931297707,0.026021849364042282,2.480916030534351,"IL13,IL4,IL5,IL31,CCL17,CCL22,CCL26,TSLP,IL4R",0.07180777192115784,"CCL26,TSLP,IL4R",0.21246588230133057,"CCL17,CCL22,CCL26,TSLP,IL4R,IL31",0.10753516107797623
